display_tag,combined_count,merged_from,normalized_tag,tag_count_merged,links
ID documents,887,"ID documents, ID-document",id document,2,"https://platform.keesingtechnologies.com/tag/id-document/, https://platform.keesingtechnologies.com/tag/id-documents/"
banknotes,421,"Banknote, banknotes",banknote,2,"https://platform.keesingtechnologies.com/tag/banknote/, https://platform.keesingtechnologies.com/tag/banknotes/"
passport,173,"passport, Passports",passport,2,"https://platform.keesingtechnologies.com/tag/passport/, https://platform.keesingtechnologies.com/tag/passports/"
premium,162,premium,premium,1,https://platform.keesingtechnologies.com/tag/premium/
security-features,137,"security feature, security-features",security feature,2,"https://platform.keesingtechnologies.com/tag/security-feature/, https://platform.keesingtechnologies.com/tag/security-features/"
Coronavirus,133,Coronavirus,coronaviru,1,https://platform.keesingtechnologies.com/tag/coronavirus/
biometrics,131,"biometric, biometrics",biometric,2,"https://platform.keesingtechnologies.com/tag/biometric/, https://platform.keesingtechnologies.com/tag/biometrics/"
Design,98,Design,design,1,https://platform.keesingtechnologies.com/tag/design/
visa,88,"visa, visas",visa,2,"https://platform.keesingtechnologies.com/tag/visa/, https://platform.keesingtechnologies.com/tag/visas/"
Cyber Security,61,Cyber Security,cyber security,1,https://platform.keesingtechnologies.com/tag/cyber-security/
security printing,61,security printing,security printing,1,https://platform.keesingtechnologies.com/tag/security-printing/
Travel,55,Travel,travel,1,https://platform.keesingtechnologies.com/tag/travel/
counterfeit,54,counterfeit,counterfeit,1,https://platform.keesingtechnologies.com/tag/counterfeit/
ID Card,43,"ID Card, ID Cards",id card,2,"https://platform.keesingtechnologies.com/tag/id-card/, https://platform.keesingtechnologies.com/tag/id-cards/"
security,41,security,security,1,https://platform.keesingtechnologies.com/tag/security/
EU,39,EU,eu,1,https://platform.keesingtechnologies.com/tag/eu/
Hologram,37,"Hologram, Holograms",hologram,2,"https://platform.keesingtechnologies.com/tag/hologram/, https://platform.keesingtechnologies.com/tag/holograms/"
CyberSecurity,36,CyberSecurity,cybersecurity,1,https://platform.keesingtechnologies.com/tag/cybersecurity/
driver's license,36,driver's license,driver' license,1,https://platform.keesingtechnologies.com/tag/drivers-license/
USA,36,USA,usa,1,https://platform.keesingtechnologies.com/tag/usa/
Artificial Intelligence,34,Artificial Intelligence,artificial intelligence,1,https://platform.keesingtechnologies.com/tag/artificial-intelligence/
e-passport,34,"e-passport, e-passports",e passport,2,"https://platform.keesingtechnologies.com/tag/e-passport/, https://platform.keesingtechnologies.com/tag/e-passports/"
technology,34,technology,technology,1,https://platform.keesingtechnologies.com/tag/technology/
UK,34,UK,uk,1,https://platform.keesingtechnologies.com/tag/uk/
Cyber Attack,29,"Cyber Attack, cyber-attacks",cyber attack,2,"https://platform.keesingtechnologies.com/tag/cyber-attack/, https://platform.keesingtechnologies.com/tag/cyber-attacks/"
identification,29,identification,identification,1,https://platform.keesingtechnologies.com/tag/identification/
Authentication,28,Authentication,authentication,1,https://platform.keesingtechnologies.com/tag/authentication/
counterfeiting,27,counterfeiting,counterfeiting,1,https://platform.keesingtechnologies.com/tag/counterfeiting/
Cyber Crime,25,Cyber Crime,cyber crime,1,https://platform.keesingtechnologies.com/tag/cyber-crime/
Background static security features,24,Background static security features,background static security feature,1,https://platform.keesingtechnologies.com/tag/background-static-security-features/
Brexit,24,Brexit,brexit,1,https://platform.keesingtechnologies.com/tag/brexit/
fake,24,fake,fake,1,https://platform.keesingtechnologies.com/tag/fake/
china,23,china,china,1,https://platform.keesingtechnologies.com/tag/china/
ID verification,23,ID verification,id verification,1,https://platform.keesingtechnologies.com/tag/id-verification/
United States,23,United States,united state,1,https://platform.keesingtechnologies.com/tag/united-states/
Canada,22,Canada,canada,1,https://platform.keesingtechnologies.com/tag/canada/
ePassport,22,ePassport,epassport,1,https://platform.keesingtechnologies.com/tag/epassport/
fraud,22,fraud,fraud,1,https://platform.keesingtechnologies.com/tag/fraud/
identity,22,identity,identity,1,https://platform.keesingtechnologies.com/tag/identity/
Real ID,22,Real ID,real id,1,https://platform.keesingtechnologies.com/tag/real-id/
Ukraine,22,Ukraine,ukraine,1,https://platform.keesingtechnologies.com/tag/ukraine/
document,21,"document, documents",document,2,"https://platform.keesingtechnologies.com/tag/document/, https://platform.keesingtechnologies.com/tag/documents/"
polymer,21,polymer,polymer,1,https://platform.keesingtechnologies.com/tag/polymer/
Digital ID,20,Digital ID,digital id,1,https://platform.keesingtechnologies.com/tag/digital-id/
Cyberattack,19,"Cyberattack, Cyberattacks",cyberattack,2,"https://platform.keesingtechnologies.com/tag/cyberattack/, https://platform.keesingtechnologies.com/tag/cyberattacks/"
cybercrime,19,cybercrime,cybercrime,1,https://platform.keesingtechnologies.com/tag/cybercrime/
Facial Recognition,19,Facial Recognition,facial recognition,1,https://platform.keesingtechnologies.com/tag/facial-recognition/
ICAO,18,ICAO,icao,1,https://platform.keesingtechnologies.com/tag/icao/
id,18,id,id,1,https://platform.keesingtechnologies.com/tag/id/
A.I.,17,A.I.,a.i.,1,https://platform.keesingtechnologies.com/tag/a-i/
Cryptocurrency,17,Cryptocurrency,cryptocurrency,1,https://platform.keesingtechnologies.com/tag/cryptocurrency/
document security,17,document security,document security,1,https://platform.keesingtechnologies.com/tag/document-security/
inks,17,inks,inks,1,https://platform.keesingtechnologies.com/tag/inks/
United Arab Emirates,17,United Arab Emirates,united arab emirate,1,https://platform.keesingtechnologies.com/tag/united-arab-emirates/
e-ID,16,e-ID,e id,1,https://platform.keesingtechnologies.com/tag/e-id/
paper,16,paper,paper,1,https://platform.keesingtechnologies.com/tag/paper/
Germany,15,Germany,germany,1,https://platform.keesingtechnologies.com/tag/germany/
printing,15,printing,printing,1,https://platform.keesingtechnologies.com/tag/printing/
border control,14,border control,border control,1,https://platform.keesingtechnologies.com/tag/border-control/
France,14,France,france,1,https://platform.keesingtechnologies.com/tag/france/
India,14,India,india,1,https://platform.keesingtechnologies.com/tag/india/
Zimbabwe,14,Zimbabwe,zimbabwe,1,https://platform.keesingtechnologies.com/tag/zimbabwe/
Polymer banknotes,13,Polymer banknotes,polymer banknote,1,https://platform.keesingtechnologies.com/tag/polymer-banknotes/
Regulations,13,"regulation, Regulations",regulation,2,"https://platform.keesingtechnologies.com/tag/regulation/, https://platform.keesingtechnologies.com/tag/regulations/"
Russia,13,Russia,russia,1,https://platform.keesingtechnologies.com/tag/russia/
Saudi Arabia,13,Saudi Arabia,saudi arabia,1,https://platform.keesingtechnologies.com/tag/saudi-arabia/
border security,12,border security,border security,1,https://platform.keesingtechnologies.com/tag/border-security/
